,0,1,2,3,4,5,6,7,8
1017,43,35,27,27,27,26,28,23,27
1035,38,42,39,35,34,26,20,18,20
1053,10,10,15,27,27,47,54,50,43
1071,43,43,46,52,59,59,56,43,35
1089,13,20,25,10,4,0,2,6,12
1107,16,21,38,59,70,70,62,47,28
1125,29,35,37,31,32,30,30,30,31
1143,38,41,42,49,47,38,33,36,54
1161,51,41,39,31,33,31,40,42,52
1179,36,40,33,28,26,24,29,25,29
1197,57,43,32,26,27,35,38,41,42
1215,14,19,32,48,62,63,62,63,58
1233,34,36,36,40,33,28,26,24,29
1251,70,62,47,28,25,34,43,51,41
1269,36,54,66,75,66,63,58,69,66
1287,52,53,56,54,57,63,66,64,57
1305,59,70,70,62,47,28,25,34,43
1323,4,6,1,1,0,6,9,12,11
1341,41,22,13,6,10,13,15,10,12
1359,81,65,62,54,52,43,38,32,36
1377,58,54,43,52,53,56,54,57,63
1395,10,13,15,10,12,13,16,8,4
1413,63,58,69,66,68,59,64,59,51
1431,62,42,34,24,32,39,42,43,41
1449,24,20,18,11,14,11,9,5,6
1467,22,14,11,4,15,19,21,20,21
1485,3,13,8,9,6,6,12,6,10
1503,11,13,15,19,21,31,42,48,39
1521,39,34,23,12,16,11,10,4,9
1539,5,6,6,14,15,18,10,6,3
1557,4,14,21,16,6,0,5,14,16
1575,8,12,20,26,31,26,20,9,11
1593,25,22,19,16,29,39,34,23,12
1611,20,21,34,22,22,22,16,25,22
1629,0,0,5,11,13,15,19,21,31
1647,9,20,16,14,6,4,6,5,11
1665,31,23,19,12,27,33,31,18,13
1683,11,14,11,9,5,6,13,14,10
1701,5,13,17,21,16,21,21,32,35
1719,16,21,21,32,35,38,26,22,14
1737,14,10,17,25,25,14,6,11,13
1755,6,4,3,9,10,11,5,5,6
1773,10,7,13,9,4,0,3,5,10
1791,15,14,18,16,17,19,16,11,3
1809,13,10,10,13,16,12,10,12,12
1827,13,6,1,11,24,34,33,20,20
1845,11,9,9,15,10,10,1,9,7
1863,15,10,0,4,4,9,4,4,3
1881,22,24,25,13,11,10,21,15,17
1899,0,3,12,23,25,20,20,21,37
1917,14,21,23,25,25,34,30,26,26
1935,17,16,14,22,26,27,25,15,10
1953,13,13,6,1,11,24,34,33,20
1971,7,1,0,0,3,12,23,25,20
1989,19,9,15,22,24,25,13,11,10
2007,25,28,34,29,17,11,2,9,12
2025,12,4,8,13,21,18,16,14,13
2043,6,10,16,18,17,16,14,22,26
2061,41,40,23,19,9,15,22,24,25
2079,13,12,4,8,13,21,18,16,14
2097,21,24,24,26,26,18,26,18,15
2115,10,10,14,23,26,25,17,33,40
2133,56,71,72,64,44,30,23,25,28
2151,10,13,16,12,10,12,12,7,1
2169,13,12,5,5,4,2,3,0,2
2187,25,43,12,12,12,12,12,12,12
2205,11,6,1,4,6,6,7,13,15
2223,18,20,12,12,8,10,7,15,13
2241,11,8,9,10,13,11,6,1,4
2259,36,20,11,13,22,21,20,27,26
2277,34,29,23,22,27,20,26,25,25
2295,1,4,6,6,7,13,15,16,13
2313,27,33,24,26,15,18,9,18,16
2331,2,6,8,11,7,18,14,21,15
2349,8,18,13,12,5,5,4,2,3
2367,13,18,17,25,16,22,22,32,36
2385,25,24,24,28,36,30,30,23,17
2403,59,71,80,71,53,56,61,62,33
2421,32,36,34,29,23,22,27,20,26
2439,33,24,26,15,18,9,18,16,23
2457,20,15,13,14,11,20,21,21,11
2475,22,32,36,34,29,23,22,27,20
2493,27,22,25,32,39,52,59,71,80
2511,22,25,32,39,52,59,71,80,71
2529,17,8,14,8,8,11,23,32,30
2547,19,17,17,18,6,2,0,11,15
2565,18,16,19,25,20,16,17,18,26
2583,17,6,4,7,19,19,15,11,7
2601,48,43,20,20,12,16,23,22,16
2619,8,23,19,16,1,10,8,18,8
2637,31,38,46,42,33,17,13,20,20
2655,14,15,15,19,17,11,6,4,6
2673,14,13,7,9,17,20,16,14,12
2691,13,7,9,17,20,16,14,12,17
2709,6,6,14,18,16,6,7,31,48
2727,25,31,38,38,36,29,13,10,15
2745,13,18,15,24,18,23,16,23,22
2763,19,8,4,4,11,11,10,9,14
2781,8,5,15,19,27,32,36,29,18
2799,10,13,19,25,31,38,38,36,29
2817,11,11,10,9,14,13,7,9,17
2835,19,25,20,16,17,18,26,27,36
2853,17,10,9,5,8,23,19,16,1
2871,13,6,8,0,5,4,4,11,16
2889,59,43,43,38,48,54,42,46,39
2907,32,27,25,22,25,20,20,12,19
2925,53,58,57,57,57,63,46,47,50
2943,20,14,12,20,17,18,13,21,18
2961,31,20,31,26,33,23,32,33,40
2979,29,21,27,24,24,18,24,24,27
2997,26,33,44,43,37,35,26,15,19
3015,8,0,2,2,2,0,0,0,0
3033,57,55,62,71,81,67,66,62,71
3051,4,18,23,29,21,27,24,24,18
3069,15,13,16,20,20,14,12,20,17
3087,58,57,57,57,63,46,47,50,70
3105,2,2,0,0,0,0,6,6,21
3123,17,11,11,9,7,9,9,9,2
3141,50,70,70,73,61,55,47,38,26
3159,15,9,8,0,2,2,2,0,0
3177,19,14,18,19,17,11,11,9,7
3195,70,70,73,61,55,47,38,26,18
3213,34,27,19,24,29,27,26,18,22
3231,14,21,19,24,24,21,15,15,19
3249,36,32,28,31,33,37,36,38,43
3267,4,0,9,8,18,21,38,33,34
3285,43,57,46,43,31,36,41,45,33
3303,13,14,11,12,15,19,20,23,13
3321,18,23,12,12,2,2,2,0,8
3339,32,28,31,33,37,36,38,43,43
3357,43,31,36,41,45,33,27,30,36
3375,8,1,10,18,18,19,18,23,32
3393,11,12,15,19,20,23,13,17,12
3411,14,8,1,10,18,18,19,18,23
3429,23,13,17,12,12,8,6,12,12
3447,8,11,16,6,3,2,6,16,13
3465,24,25,22,28,26,27,25,29,33
3483,87,84,86,82,73,75,83,84,85
3501,8,18,21,38,33,34,34,43,33
3519,26,18,16,20,19,19,15,12,11
3537,43,54,45,56,57,66,61,62,63
3555,12,8,15,14,8,1,10,18,18
3573,6,16,13,14,11,12,15,19,20
3591,46,49,41,34,32,33,30,24,23
3609,7,12,11,21,23,39,69,100,134
3627,47,50,52,43,38,27,25,25,26
3645,42,23,2,11,14,39,48,66,62
3663,33,39,39,25,18,18,17,9,4
3681,52,60,58,44,57,64,72,68,66
3699,16,12,10,2,2,2,9,14,34
3717,25,18,18,17,9,4,4,8,16
3735,50,52,43,38,27,25,25,26,16
3753,2,2,2,9,14,34,48,60,68
3771,88,83,64,52,57,56,44,22,13
3789,62,34,32,35,36,25,31,30,34
3807,49,66,93,106,111,96,84,79,75
3825,11,11,11,15,20,25,31,26,24
3843,183,159,142,121,137,152,165,154,131
3861,5,1,6,11,9,18,21,35,39
3879,31,43,102,102,136,120,118,94,89
3897,36,25,31,30,34,40,49,66,93
3915,48,60,68,63,71,63,65,62,73
3933,24,14,8,0,4,19,34,42,33
3951,62,73,88,88,70,57,52,44,24
3969,25,37,41,43,49,50,43,40,31
3987,56,72,69,65,71,87,82,74,57
4005,26,32,37,29,27,23,26,24,29
4023,2,0,9,24,44,33,39,29,45
4041,65,64,62,50,45,47,56,57,49
4059,29,16,13,2,0,4,4,9,5
4077,33,39,29,45,27,24,10,10,3
4095,18,20,27,39,41,37,42,56,72
4113,33,29,17,11,13,24,23,27,26
4131,6,10,11,13,5,3,0,0,0
4149,-1,28,41,39,45,39,37,39,39
4167,13,9,15,20,26,23,18,11,14
4185,15,20,26,23,18,11,14,11,22
4203,43,40,31,29,16,13,2,0,4
4221,0,7,16,16,17,17,28,22,17
4239,7,13,6,12,5,6,6,14,21
4257,2,0,4,4,9,5,13,9,15
4275,16,25,12,8,7,11,11,3,0
4293,29,27,23,26,24,29,35,35,26
4311,12,8,7,11,11,3,0,0,0
