,0,1,2,3,4,5,6,7,8,9
1719,0,0,1,1,9,13,13,15,9,15
1737,1,1,1,2,2,0,4,7,14,12
1755,22,17,14,8,11,9,20,12,12,1
1773,4,5,9,9,9,0,0,3,8,11
1791,0,4,4,4,3,8,8,4,0,0
1809,15,6,14,20,26,28,31,28,25,33
1827,23,11,7,10,17,12,10,6,13,17
1845,9,7,6,1,1,10,11,12,2,1
1863,6,1,0,1,4,11,14,14,14,12
1881,13,5,0,3,7,9,12,11,15,23
1899,6,7,13,12,16,12,10,2,3,9
1917,5,0,0,0,0,0,0,2,4,6
1935,12,11,6,3,0,3,3,2,0,0
1953,3,6,7,7,0,0,0,0,8,11
1971,13,6,6,4,9,13,9,6,4,11
1989,0,0,10,10,10,1,9,11,9,1
2007,0,0,0,0,5,4,6,4,4,14
2025,29,24,20,25,21,27,31,28,25,33
2043,15,9,8,0,0,0,0,0,7,29
2061,26,24,32,34,35,35,37,50,42,34
2079,3,0,0,8,13,24,15,16,8,9
2097,14,17,12,19,14,12,3,3,4,6
2115,5,4,2,5,11,21,26,21,20,25
2133,10,15,19,11,11,7,10,16,21,22
2151,6,0,6,14,22,27,19,17,10,24
2169,10,5,0,3,2,2,5,14,41,40
2187,28,17,6,10,20,25,21,10,15,38
2205,49,70,76,25,7,7,7,15,20,30
2223,41,22,30,36,37,31,29,41,50,43
2241,8,15,26,31,53,51,64,30,28,26
2259,15,17,6,13,13,24,25,26,23,30
2277,32,17,24,15,21,14,20,22,20,28
2295,12,7,0,0,0,4,4,7,4,13
2313,15,14,16,20,18,25,17,21,22,20
2331,17,22,10,10,9,7,16,10,9,9
2349,10,12,4,2,3,3,8,5,14,17
2367,5,4,3,4,9,13,11,13,6,16
2385,0,3,3,10,11,18,11,11,8,11
2403,7,7,5,3,3,6,6,12,7,18
2421,13,12,13,15,13,9,7,21,21,36
2439,10,14,12,10,10,13,11,8,8,18
2457,12,25,21,29,22,20,26,29,29,32
2475,23,22,27,24,15,8,16,24,25,30
2493,5,9,12,12,16,16,16,15,14,16
2511,27,25,18,18,18,18,18,15,15,18
2529,14,12,12,11,13,18,13,11,20,17
2547,20,19,21,20,18,12,15,13,18,27
2565,23,20,12,21,18,20,22,20,24,12
2583,3,1,0,2,3,3,2,3,12,12
2601,17,13,2,6,12,22,19,14,6,16
2619,9,13,12,16,13,6,11,9,11,1
2637,25,21,27,22,27,19,22,21,33,28
2655,6,11,4,4,6,10,10,6,3,5
2673,6,5,5,9,5,7,4,7,13,13
2691,11,9,13,8,5,10,8,8,3,4
2709,2,7,7,10,12,16,13,7,8,11
2727,6,2,6,4,5,4,4,6,1,9
2745,6,5,7,2,5,5,5,2,1,1
2763,10,12,7,7,5,4,2,4,7,6
2781,8,14,10,19,16,18,13,11,6,15
2799,7,13,11,13,6,1,5,7,15,9
2817,14,6,4,9,11,7,9,14,22,23
2835,0,11,15,18,10,8,12,10,18,11
2853,0,5,9,9,7,3,5,5,5,5
2871,12,9,7,0,6,9,9,8,14,14
2889,21,32,24,30,19,21,16,18,10,10
2907,11,10,18,35,32,28,14,24,27,30
2925,27,18,16,8,8,12,20,18,21,15
2943,9,11,10,13,14,7,6,11,18,27
2961,20,16,22,18,26,14,12,11,15,33
2979,26,20,16,17,18,10,13,22,28,31
2997,21,22,34,25,22,13,16,18,22,27
3015,28,20,13,8,8,3,7,22,34,27
3033,18,16,11,6,9,9,11,9,6,13
3051,5,5,6,4,4,10,9,11,4,4
3069,16,8,9,7,6,7,5,10,15,24
3087,22,30,35,29,34,22,29,20,19,21
3105,2,10,7,7,1,2,2,7,9,10
3123,4,2,2,4,1,3,2,8,15,22
3141,23,25,16,9,11,11,15,19,28,33
3159,8,6,11,14,13,9,12,21,20,18
3177,23,15,9,12,13,10,13,18,25,21
3195,26,25,17,22,17,22,20,25,19,31
3213,27,29,32,32,35,32,29,30,37,47
3231,41,33,37,31,44,33,40,35,39,39
3249,15,18,26,31,35,32,34,33,42,37
3267,11,17,18,20,10,9,9,16,16,18
3285,16,20,14,8,6,4,6,7,12,18
3303,28,25,22,20,25,31,30,24,19,18
3321,9,9,0,6,7,8,3,2,1,8
3339,27,23,15,17,16,25,22,24,27,27
3357,24,17,21,26,24,22,16,26,30,28
3375,9,3,4,4,7,7,9,13,11,21
3393,8,12,13,13,9,11,6,8,6,12
3411,7,7,8,0,7,13,14,11,4,7
3429,6,4,4,4,10,9,18,10,13,11
3447,8,10,20,18,14,3,9,16,24,29
3465,5,14,13,24,22,21,18,18,28,26
3483,17,20,20,18,16,16,16,14,22,23
3501,29,24,21,15,18,12,15,20,26,31
3519,23,34,41,38,37,30,39,25,22,22
3537,18,21,21,27,28,29,30,36,42,43
3555,14,16,22,15,23,19,35,42,55,49
3573,26,29,40,38,38,34,34,36,45,43
3591,39,40,28,19,26,18,28,18,26,33
3609,97,90,76,73,70,70,59,58,55,59
3627,37,28,36,34,37,31,33,33,38,31
3645,15,8,11,10,17,16,12,6,10,19
3663,7,11,8,7,8,17,19,13,6,7
3681,8,14,14,20,24,34,31,25,20,29
3699,18,22,18,15,5,11,19,26,23,22
3717,19,13,11,9,9,9,6,24,37,38
3735,41,50,46,45,36,35,36,33,29,34
3753,24,19,15,6,1,0,1,1,5,7
3771,0,0,0,0,0,0,0,4,12,12
3789,6,14,12,12,0,2,7,12,23,36
3807,16,26,18,11,6,7,12,4,6,1
3825,11,14,14,10,4,9,14,10,17,11
3843,6,6,5,0,4,7,9,12,14,19
3861,4,6,1,1,0,0,0,4,6,6
3879,0,0,0,1,1,13,19,23,14,5
3897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3915,12,11,11,7,3,13,31,47,47,31
3933,3,0,4,4,8,2,4,8,14,20
3951,8,8,2,2,0,4,14,25,20,11
3969,17,17,22,27,26,9,4,0,0,3
3987,6,0,10,15,24,15,14,14,21,21
4005,5,12,15,22,14,6,4,13,20,31
4023,21,21,0,0,0,0,0,0,0,0
4041,20,20,20,20,21,29,29,27,21,13
4059,2,0,0,1,5,9,8,2,1,4
4077,6,19,21,20,4,0,0,0,3,14
4095,15,11,11,14,15,15,17,23,24,22
4113,11,22,23,16,9,4,6,3,13,22
4131,19,38,52,53,39,17,9,6,12,16
4149,11,6,1,1,1,0,0,1,1,5
4167,14,12,12,2,4,1,1,3,4,4
4185,16,27,21,22,27,29,37,23,17,14
4203,19,17,19,32,26,21,6,17,14,21
4221,57,53,65,64,68,52,42,31,27,35
4239,9,17,26,33,32,24,16,16,21,29
4257,26,26,31,29,21,13,13,21,23,23
4275,2,2,3,3,3,11,13,14,8,3
4293,16,13,14,21,19,23,18,17,24,28
4311,1,1,1,0,0,0,2,2,8,8
9,36,35,31,28,25,20,19,30,41,44
27,30,30,22,18,13,13,11,22,25,34
45,27,20,16,14,15,8,4,9,16,22
63,14,20,22,24,26,33,48,50,49,45
81,76,81,75,66,70,65,66,57,56,64
99,46,46,46,42,35,35,40,45,48,57
117,35,31,33,25,36,28,33,29,42,56
135,60,60,52,47,45,50,43,40,42,41
153,9,9,14,15,20,16,23,16,17,9
171,7,0,0,1,1,7,7,8,4,8
189,25,24,23,18,20,14,7,17,31,44
207,62,52,40,32,37,31,34,32,33,31
225,10,13,18,16,7,5,2,11,8,21
243,21,21,30,26,26,26,23,16,4,6
261,8,5,14,11,13,4,9,15,23,23
279,7,7,6,5,2,17,15,33,25,30
297,22,23,22,22,23,11,2,18,31,36
315,25,24,10,7,11,16,19,9,8,6
333,36,41,46,48,38,21,11,11,40,64
351,60,48,53,60,66,53,55,57,57,51
369,36,29,16,10,23,27,33,21,32,30
387,13,8,15,13,22,19,23,15,17,13
405,17,13,18,29,22,21,23,34,32,24
423,22,31,32,35,25,14,7,0,2,7
441,4,4,0,0,0,2,2,2,8,8
459,29,21,21,14,16,6,11,10,14,8
477,38,36,23,19,7,21,20,25,16,18
495,25,13,12,7,7,6,7,9,6,6
513,0,0,0,7,7,5,7,10,10,3
531,4,4,8,9,13,10,4,0,5,5
549,2,1,11,13,13,15,17,23,20,15
567,7,1,0,0,1,4,6,4,1,6
585,4,10,10,5,1,3,4,1,0,4
603,1,1,10,16,19,7,4,6,16,13
621,7,1,1,2,5,6,8,3,5,17
639,34,27,21,25,25,23,21,21,22,23
657,29,35,32,38,23,21,13,19,14,14
675,57,46,27,14,5,4,11,21,36,35
693,0,0,0,5,5,10,10,10,6,0
711,16,12,10,9,12,11,16,14,20,18
729,3,3,3,8,4,9,18,32,37,34
747,61,47,21,2,0,2,2,2,1,1
765,3,3,0,1,1,7,10,18,25,32
783,19,20,20,22,26,29,37,37,39,38
801,9,3,2,1,5,5,6,7,7,9
819,2,4,0,0,0,6,8,14,16,16
837,10,8,5,0,0,0,0,0,0,0
855,20,18,26,20,21,9,8,18,28,37
873,6,1,1,0,0,0,0,0,0,1
891,4,7,7,4,1,14,24,31,31,31
909,64,61,57,43,34,26,26,36,53,54
927,37,28,32,42,42,49,57,80,93,75
945,18,19,14,7,7,13,7,5,3,4
963,23,34,34,41,39,40,48,47,44,34
981,37,40,47,48,62,72,76,78,70,62
999,52,43,39,27,27,36,56,62,65,62
1017,8,15,21,27,25,34,34,45,55,61
1035,21,16,19,18,16,4,13,29,49,49
1053,46,44,43,51,53,50,51,57,71,64
1071,51,51,51,51,50,40,46,47,50,45
1089,24,18,13,15,12,11,5,6,-1,16
1107,11,3,0,0,1,1,1,0,8,15
1125,29,4,0,13,24,28,27,28,37,37
1143,8,20,19,23,16,19,19,23,18,14
1161,39,41,41,40,42,46,54,59,57,60
1179,31,22,21,19,16,22,29,41,49,61
1197,60,57,52,54,53,51,45,35,21,6
1215,13,6,9,8,7,8,13,13,-1,16
1233,12,12,9,20,23,27,28,35,50,52
1251,23,27,19,17,16,14,12,12,21,23
1269,29,30,31,35,43,54,54,59,68,70
1287,30,29,24,24,27,33,40,43,37,37
1305,39,37,36,29,34,33,36,34,26,23
1323,26,22,11,14,11,19,21,24,14,9
1341,15,24,29,34,33,34,35,41,42,50
1359,30,25,25,17,17,25,32,33,34,31
1377,24,29,31,29,22,19,14,15,16,21
1395,20,20,20,20,16,17,28,33,35,30
1413,31,24,21,26,29,35,31,41,45,52
1431,33,31,23,16,21,29,30,27,36,37
1449,21,22,14,20,16,21,19,29,29,36
1467,9,9,9,9,4,0,0,11,11,19
1485,8,14,13,13,7,2,2,7,13,26
1503,12,3,7,7,10,12,12,10,8,20
1521,10,4,4,11,11,5,-1,-1,-1,-1
1539,-1,-1,4,7,14,8,5,-1,0,7
1557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1575,9,15,23,17,11,9,8,6,0,11
1593,5,0,0,9,33,39,44,34,39,31
1611,34,20,9,1,9,9,14,6,3,0
1629,0,0,2,11,13,9,2,0,0,0
1647,0,0,0,9,7,9,0,0,3,3
1665,6,6,1,4,4,1,0,0,-1,-1
1683,2,9,8,6,0,6,15,16,16,10
1701,18,4,4,4,0,5,6,6,0,5
1719,0,1,1,9,13,13,15,9,15,5
1737,1,1,2,2,0,4,7,14,12,9
1755,17,14,8,11,9,20,12,12,1,3
1773,5,9,9,9,0,0,3,8,11,6
1791,4,4,4,3,8,8,4,0,0,1
1809,6,14,20,26,28,31,28,25,33,36
1827,11,7,10,17,12,10,6,13,17,22
1845,7,6,1,1,10,11,12,2,1,0
1863,1,0,1,4,11,14,14,14,12,18
1881,5,0,3,7,9,12,11,15,23,22
1899,7,13,12,16,12,10,2,3,9,17
1917,0,0,0,0,0,0,2,4,6,4
1935,11,6,3,0,3,3,2,0,0,10
1953,6,7,7,0,0,0,0,8,11,16
1971,6,6,4,9,13,9,6,4,11,10
1989,0,10,10,10,1,9,11,9,1,9
2007,0,0,0,5,4,6,4,4,14,14
2025,24,20,25,21,27,31,28,25,33,39
2043,9,8,0,0,0,0,0,7,29,42
2061,24,32,34,35,35,37,50,42,34,25
2079,0,0,8,13,24,15,16,8,9,9
2097,17,12,19,14,12,3,3,4,6,7
2115,4,2,5,11,21,26,21,20,25,27
2133,15,19,11,11,7,10,16,21,22,23
2151,0,6,14,22,27,19,17,10,24,36
2169,5,0,3,2,2,5,14,41,40,46
2187,17,6,10,20,25,21,10,15,38,43
2205,70,76,25,7,7,7,15,20,30,30
2223,22,30,36,37,31,29,41,50,43,36
2241,15,26,31,53,51,64,30,28,26,30
2259,17,6,13,13,24,25,26,23,30,41
2277,17,24,15,21,14,20,22,20,28,20
2295,7,0,0,0,4,4,7,4,13,12
2313,14,16,20,18,25,17,21,22,20,24
2331,22,10,10,9,7,16,10,9,9,15
